가맹점구분번호,가맹점주소_세부,가맹점명,업종,상권,개설일,폐업일,프랜차이즈여부,가맹점주소
3E96264C22,홍익동,맛나**,한식-찌개/전골,왕십리,2006-02-16,,0,홍익동
C1C06DF70A,마조로 9,설빙****,아이스크림/빙수,한양대,2014-06-23,,1,마조로
8ABD74319E,무학로 8,70******,룸살롱/단란주점,왕십리,2015-11-16,,0,무학로
8749D150F3,상원6길,오가******,한식-해물/생선,뚝섬,2011-11-03,,0,상원
5BE883AA16,옥수2동,극동*****,축산물,옥수,1994-11-28,,0,옥수
94C8165F35,옥수2동,전주*******,백반/가정식,옥수,1998-12-07,,0,옥수
ED815EC186,옥수2동,양지***,한식-육류/고기,옥수,2000-06-07,,0,옥수
FBDA2A8798,옥수2동,장군**,한식-육류/고기,옥수,2002-11-09,,0,옥수
147235F3A5,옥수2동,돈까*,일식-덮밥/돈가스,옥수,2007-03-14,,0,옥수
167F268F8E,행당1동,돔카*,카페,왕십리,2011-05-25,,0,행당
7C3795DF2D,행당1동,한양***********,식료품,한양대,2009-03-11,,0,행당
E9EB56D7EC,행당1동,한양***,한식-육류/고기,한양대,2010-07-19,,0,행당
55B4F11C0E,행당2동,김밥**,분식,행당,2010-10-11,,0,행당
C75AC23756,행당2동,대림****,축산물,행당,2000-06-27,,0,행당
4DEDE7CD03,금호동2가,닭한*****,한식-육류/고기,신금호,2004-11-02,,0,금호동
8F1003CA95,금호동3가,귀일**,분식,금남시장,2016-03-15,,0,금호동
04BACBFB49,금호로 56,해장***,백반/가정식,금남시장,2007-01-25,,0,금호로
5946F40892,금호로 62,교촌******,치킨,금남시장,2013-03-25,,1,금호로
17FF425166,금호로 66,광주**,한식-해물/생선,금남시장,2002-07-08,,0,금호로
AB0716250B,동일로 83,와규**,한식-육류/고기,동일로,2008-05-15,,0,동일로
E9D4FB94A0,동일로 83,참나*****,한식-단품요리일반,동일로,2010-02-23,,0,동일로
149BA1B7C7,마조로 11,써브******,샌드위치/토스트,한양대,2002-01-21,,1,마조로
2AECA02B3A,마조로 17,대*,축산물,한양대,2002-04-30,,0,마조로
11A66B8033,마조로 17,돼지*,한식-육류/고기,한양대,2002-03-21,,0,마조로
CE3D519C06,마조로 17,장어**,한식-해물/생선,한양대,2009-06-17,,0,마조로
03A222EE9D,마조로 17,놀란*,한식-단품요리일반,한양대,2014-06-09,,0,마조로
946BE40BF1,마조로 25,토리********,일식당,한양대,2015-09-11,,0,마조로
B2378AFA3D,마조로 29,성일***,한식-감자탕,한양대,2010-02-17,,0,마조로
F512DF538E,마조로 31,맘스*******,햄버거,한양대,2015-08-31,,1,마조로
C2207433F7,마조로 33,한솥***********,도시락,한양대,2010-07-12,,1,마조로
9350A78BD7,마조로 33,동방***,꼬치구이,한양대,2014-07-21,,0,마조로
661C7C734C,마조로 35,크로*******,베이커리,한양대,2002-09-25,,0,마조로
43CE48A1CD,마조로 39,스마*,분식,한양대,2009-03-03,,0,마조로
0E2AE2C4F1,마조로 7.,철*,백반/가정식,한양대,2016-08-23,,0,마조로
7102ACD438,매봉길 2.,인덕***,양식,옥수,2018-01-17,,0,매봉길
F80F79F599,매봉길 2.,파파*****,피자,옥수,2005-11-30,,1,매봉길
FCBC740B1D,무학로 33,왕십**********,베이커리,왕십리,2016-04-19,,1,무학로
D427F7C6AB,무학로 42,벽산****,포장마차,왕십리,2009-12-02,,0,무학로
7D6F493369,상원6길 5,춘천***,한식-육류/고기,뚝섬,2000-03-18,,1,상원
98BA99BFE9,상원8길 1,가든***,축산물,뚝섬,2009-07-17,,0,상원
54529B6426,상원길 52,둘둘***********,치킨,뚝섬,2010-11-01,,1,상원길
3DD6585AD5,상원길 54,이흥***,한식-육류/고기,뚝섬,1999-02-05,,0,상원길
2B89D787CB,상원길 60,왕짜*,중식당,뚝섬,2018-12-05,,1,상원길
3B0F367222,성수동2가,맛닭******,치킨,성수,2000-09-06,,1,성수동
4208C4C0A7,성수동2가,삼오***,식품 제조,성수,2016-07-29,,0,성수동
838461E308,성수동2가,찐짜**,백반/가정식,성수,2015-08-24,,0,성수동
E8E75C90BA,성수동2가,20****,한식-해물/생선,성수,2009-08-04,,0,성수동
37FE3D6CC0,성수동2가,빙아********,아이스크림/빙수,성수,2023-04-21,,0,성수동
BEFB51F3ED,장터3길 8,뚱이***,한식-감자탕,금남시장,2015-04-07,,0,장터
4349A8302A,장터길 23,롯데******,햄버거,금남시장,2015-08-12,2025-08-18,1,장터길
9AE54FE931,장터길 25,두레******,베이커리,금남시장,2008-03-25,,1,장터길
4EE6AA4F0F,장터길 30,먹거****,한식-육류/고기,금남시장,2011-03-03,,0,장터길
0D30BE35C0,장터길 37,온달***,한식-육류/고기,금남시장,2015-08-11,,0,장터길
99A8865F14,장터길 47,백미*,떡/한과 제조,금남시장,2001-12-29,,0,장터길
D0ECE18966,장터길 47,진미**,한식-육류/고기,금남시장,2007-02-14,,0,장터길
D333ECD384,장터길 49,은하*,룸살롱/단란주점,금남시장,2005-09-13,,0,장터길
C64FD46BFC,행당로 38,덕흥***,축산물,행당,2000-10-12,,0,행당로
A4369EE806,행당로 79,비타***,반찬,행당,2015-11-12,,0,행당로
3C97811992,무수막길,강정***,치킨,신금호,2009-10-29,,0,무수막길
1527B8DFD5,무수막길,미스***,치킨,신금호,2012-10-23,,1,무수막길
224AE94A24,상원12길,예*,백반/가정식,뚝섬,2012-10-22,,0,상원
F1823DF685,금호로 151,포마***,분식,신금호,2010-06-24,,1,금호로
1361C9B25C,금호로 168,사와**,분식,신금호,2008-12-29,,0,금호로
0616E5FFD3,금호로 17.,마테****,양식,금남시장,2015-03-20,,0,금호로
F20A9C3F30,금호로 17.,해*,한식-육류/고기,금남시장,2012-04-02,,0,금호로
E014ED20D7,금호로 17.,유어***,한식-단품요리일반,금남시장,2013-10-16,,0,금호로
77E78C7C26,금호로 40.,금호**************,요리주점,금남시장,2016-12-02,,0,금호로
88B36E48D9,금호로 45.,필라*******,룸살롱/단란주점,금남시장,2002-01-24,,0,금호로
69BC027D6D,금호로 56.,만족********,한식-육류/고기,금남시장,2016-08-22,,1,금호로
A7F9CAA110,금호로 66.,대중*****,한식-육류/고기,금남시장,2015-10-30,,0,금호로
0286E31425,금호로 84.,장미**,백반/가정식,금남시장,2015-09-02,,0,금호로
C26F430D81,금호로 86.,삼덕**,미곡상,금남시장,2013-06-05,,0,금호로
AE28C5ED57,난계로 32.,지코*******,치킨,난계로,2023-07-27,,1,난계로
572B665575,난계로 35.,이디***********,커피전문점,난계로,2016-11-23,,1,난계로
93F595E5D2,난계로 97.,삼미**,한식-단품요리일반,난계로,2015-01-21,,0,난계로
66FA72C189,둘레5길 15,지성**,백반/가정식,성수,2008-11-03,,0,둘레
81FB160AA4,뚝섬로 404,풍년**,미곡상,성수,2007-07-10,,0,뚝섬로
6D19A5E92A,뚝섬로 404,중국*,중식당,성수,2007-08-08,,0,뚝섬로
721715F255,마장로 137,퍼멘*****,베이커리,왕십리,2020-08-31,,0,마장로
43F46BD63A,마장로 192,수원**,한식-육류/고기,왕십리,2013-06-05,,0,마장로
0400611A92,마장로 199,겨울**,백반/가정식,왕십리,2013-10-31,,0,마장로
EC38BD01D9,마장로 211,소대**,백반/가정식,왕십리,2014-08-06,,0,마장로
571F96C27E,마장로 223,김밥**,분식,왕십리,2008-06-19,,1,마장로
C18835BA2E,마장로 227,달리***,포장마차,왕십리,2005-07-01,,0,마장로
44EA134147,마장로 232,권가*,한식-육류/고기,왕십리,2013-10-24,,0,마장로
D86773997F,마장로 283,세계********,주류,왕십리,2008-06-13,,1,마장로
F3D0744667,마장로 296,비어**,호프/맥주,왕십리,2006-09-25,,1,마장로
43195F0299,마장로 321,나*,백반/가정식,왕십리,2002-04-03,,0,마장로
41CD6D7430,마장로 326,들창*,한식-육류/고기,왕십리,2008-05-20,,0,마장로
E6D7A15FD3,마조로 17.,레드**,분식,한양대,2010-02-18,,0,마조로
149F54EBF0,마조로 17.,금*,중식당,한양대,2011-08-08,,0,마조로
1F43B61BB2,마조로 17.,든든****,호프/맥주,한양대,2013-08-30,,0,마조로
2C264531BC,마조로 17.,주물****,한식-육류/고기,한양대,2008-08-12,,0,마조로
D1138B8FD3,마조로 17.,올레*******,한식-육류/고기,한양대,2011-09-06,,0,마조로
73F46BB8A3,마조로 17.,육지**,한식-육류/고기,한양대,2013-10-18,,0,마조로
FF37DA45D4,마조로 17.,꼬지***,한식-육류/고기,한양대,2013-11-18,,0,마조로
7A6A7EB10A,마조로 17.,이모*****,한식-육류/고기,한양대,2014-11-25,,0,마조로
55B960CBD0,마조로 17.,더구**,한식-육류/고기,한양대,2015-06-24,,0,마조로
0E559E84F4,마조로 17.,양대*,한식-육류/고기,한양대,2016-04-01,,0,마조로
42326C1AF5,마조로 21.,금*,중식당,한양대,2001-12-18,,0,마조로
3BCE6D8224,마조로 21.,쏘러*,호프/맥주,한양대,2014-07-22,,0,마조로
FCAF2BC53E,마조로 21.,빽다******,커피전문점,한양대,2015-07-31,2025-08-18,1,마조로
87EDA03BF6,마조로 25.,뉴스*****,호프/맥주,한양대,2015-08-20,,1,마조로
E10B522E89,마조로 25.,이가**,한식-육류/고기,한양대,2005-02-07,,0,마조로
9DB8C036CD,마조로 27.,달포*,포장마차,한양대,2015-12-29,,0,마조로
3AE3E04CCF,마조로 29.,쥬*,주스,한양대,2015-05-26,,1,마조로
13CF34E13D,마조로 29.,행컵*****,백반/가정식,한양대,2022-04-20,,1,마조로
1AEC503D19,마조로 31.,교촌*******,치킨,한양대,2018-11-13,,1,마조로
27751D8C2E,마조로 33.,악어***,분식,한양대,2011-05-17,,0,마조로
B3E898AB24,마조로 34.,본도*********,도시락,한양대,2014-11-20,,1,마조로
77F596FCF5,마조로 35.,본죽*********,한식-죽,한양대,2014-05-23,,1,마조로
64E401B0CC,마조로 55.,청담**,반찬,한양대,2016-03-25,,0,마조로
05992E2BE5,매봉길 13.,락앤*****,중식당,옥수,2014-05-07,,1,매봉길
2324CB55B4,매봉길 16.,래미***,한식-단품요리일반,옥수,2011-03-14,,0,매봉길
CF7D4E4D69,매봉길 22.,함흥***,한식-국밥/설렁탕,옥수,2013-08-02,,0,매봉길
69013447B1,무학로 10.,냉삼*********,한식-육류/고기,왕십리,2021-04-20,,0,무학로
765AA249BB,무학로 33.,좋은******,식료품,왕십리,2023-11-20,,0,무학로
158EC80184,무학로 33.,푸른**,축산물,왕십리,2024-12-10,,0,무학로
56F352C52C,무학로 33.,퀸타*****,베이커리,왕십리,2016-11-18,,0,무학로
5FCE089938,무학로 33.,이디******,커피전문점,왕십리,2016-11-17,,1,무학로
A8B5572DE8,무학로 33.,애정***,백반/가정식,왕십리,2008-12-15,,0,무학로
3CAACEBFFD,무학로 36.,한국***,백반/가정식,왕십리,2014-02-17,,0,무학로
52BE681A0A,사근동 178,미네***,일식-우동/소바/라면,한양대,2016-10-14,,0,사근동
8532D4C362,사근동11길,그린******,카페,한양대,2023-02-23,,0,사근동
50832A2B37,사근동길 4,비*,한식-찌개/전골,한양대,2009-07-29,,0,사근동길
3D05D0CBE9,상왕십리동,일미**********,한식-육류/고기,상왕십리동,2014-08-12,,1,상왕십리동
E961D9800C,상왕십리동,옐로************,한식-단품요리일반,상왕십리동,2021-11-09,,0,상왕십리동
7FD59667F6,상원10길 6,풍년*****,백반/가정식,뚝섬,2009-05-20,,0,상원
B0B5E9F0A8,상원10길 8,미락******,한식-국수/만두,뚝섬,2010-06-10,,0,상원
F425FD13E4,상원1길 15,돈벼***,한식-육류/고기,뚝섬,1999-10-15,,0,상원
BD237E8126,상원2길 5.,페로************,카페,뚝섬,2020-04-07,,0,상원
87CD1EAFC6,상원6길 4.,호남**,백반/가정식,뚝섬,2012-11-22,,0,상원
A194A2CDE5,상원8길 1.,좋은**,농산물,뚝섬,2015-02-06,,0,상원
AEE017222D,상원길 11.,연탄****,한식-해물/생선,뚝섬,2013-05-07,,0,상원길
6B31815A9D,상원길 19.,개인****************,카페,뚝섬,2015-06-30,,0,상원길
968834B420,상원길 24.,백채*********,한식-찌개/전골,뚝섬,2011-12-05,,1,상원길
B7564CFF4B,상원길 24.,미사*,한식-단품요리일반,뚝섬,2013-12-10,,0,상원길
9092940228,상원길 39.,하이***,분식,뚝섬,2015-07-08,,0,상원길
CD0848A352,상원길 39.,쥬씨*****,주스,뚝섬,2016-07-18,,1,상원길
DA1B23659C,상원길 51.,종로**,떡/한과 제조,뚝섬,2013-12-04,,0,상원길
EC5DF75B11,상원길 59.,신전***,분식,뚝섬,2016-06-22,,1,상원길
7727CDA849,상원길 64.,코너*,양식,뚝섬,2019-10-11,,0,상원길
735CDC10F9,상원길 66.,일로*******,한식-단품요리일반,뚝섬,2016-06-10,,0,상원길
F42D0B483B,성수1가1동,동부**,축산물,성수,2014-02-12,,0,성수
3DEF9DCDB9,아차산로 6,김밥**,분식,뚝섬,2006-04-27,,1,아차산로
D9C37DB102,용답19길 5,로데***,한식-육류/고기,답십리,2005-05-25,,0,용답
F5F6298388,용답동 5-3,동호**,일식당,답십리,1996-01-12,,0,용답동
D10F02182E,장터길 37.,과일**,청과물,금남시장,2024-01-18,,0,장터길
B3301EF2AC,장터길 39.,부원**,한식-냉면,금남시장,2007-08-22,,0,장터길
747B2FF05E,장터길 46.,장군**,백반/가정식,금남시장,2009-05-11,,0,장터길
BD1FD7F407,행당로 103,바르********,분식,행당,2014-12-04,,1,행당로
9977D38E3F,행당로 119,이삭***,샌드위치/토스트,행당,2015-04-30,,1,행당로
88375A5971,행당로 129,김밥**,분식,왕십리,2008-03-28,,0,행당로
3114F5BFDA,행당로 76.,도담**,인삼제품,행당,2013-10-28,,0,행당로
EB66B019B5,행당로 79.,카페*********,카페,행당,2016-06-21,,0,행당로
CA28FD6B8A,행당로 82.,왕십***,미곡상,행당,2014-08-18,,0,행당로
66317DF98C,행당로 84.,치치****,주류,행당,2021-05-06,,0,행당로
D731C6D372,행당로 84.,커피********,커피전문점,행당,2015-09-10,,1,행당로
1F08E8119D,행당로 87.,비타***,청과물,행당,2016-01-08,,1,행당로
DFC09E5F2A,행당로 87.,빵굼*,베이커리,행당,2013-03-04,,1,행당로
5B3DE5F17F,행당로 87.,방가*****,한식-육류/고기,행당,2015-08-21,,0,행당로
17725DC7CA,금호동1가,종로**,떡/한과 제조,금남시장,2009-02-06,,0,금호동
3849F9A089,금호동1가,우촌****,한식-육류/고기,금남시장,2006-07-04,,0,금호동
E2AF8DDCAD,금호동1가,태능****,한식-육류/고기,금남시장,2007-10-05,,0,금호동
C21A5454F4,금호동2가,우리**,미곡상,신금호,2011-03-14,,0,금호동
15EE2AE836,금호동3가,조아*******,담배,금남시장,2011-01-27,,0,금호동
9676392FCC,금호동3가,은진***,건어물,금남시장,2009-03-24,,0,금호동
4B2AF6047C,금호동3가,은성**,한식-육류/고기,금남시장,2003-10-13,,0,금호동
DA3D8B1FB0,금호동4가,브레*****,건강식품,금남시장,1998-01-24,,0,금호동
E4313DDAAD,금호동4가,곽가*****,백반/가정식,금남시장,2011-05-20,,0,금호동
AC70EA0FCD,금호산2길,중화*,중식당,금남시장,2015-06-19,,0,금호산
6E584F4319,마조로5길,시선*****,포장마차,한양대,2012-12-28,,0,마조로
FF39E0223D,무학로2길,오븐******,치킨,왕십리,2012-10-17,,1,무학로
BE646F48C4,무학로8길,카페***,카페,왕십리,2014-06-27,,0,무학로
2889D57BC9,성수동2가,영남***,식품 제조,성수,2011-12-14,2025-07-31,0,성수동
BCE250D47B,금호로 100.,한*,농산물,금남시장,2014-11-12,,0,금호로
921F25CC9D,금호로 100.,현준**,청과물,금남시장,2016-03-09,,0,금호로
55F3EC2326,금호로 102.,가츠**,양식,금남시장,2013-08-27,,0,금호로
D66D8AD118,금호로 164.,청과****,청과물,신금호,2005-01-17,,0,금호로
AB0A569DCA,금호로 168.,먹태**,호프/맥주,신금호,2015-08-12,,0,금호로
6DF56DD3F4,금호로 40 .,커스*******,커피전문점,금남시장,2016-02-02,,0,금호로
5468EE06CF,금호로 47-1,금수*,중식당,금남시장,2002-06-04,,0,금호로
13920AE06B,금호산길 62,해마******,한식-육류/고기,신금호,2004-09-01,,0,금호산길
4EFDFC6E78,금호산길 71,전주**,백반/가정식,신금호,2001-12-07,,0,금호산길
E32B3F96D3,동일로 143.,우마************,일식당,동일로,2009-07-20,,0,동일로
EADA92CB95,동일로 143.,밥내*,한식-단품요리일반,동일로,2016-01-19,,0,동일로
94864656C3,동일로 265.,싱싱***,한식-육류/고기,동일로,2015-05-06,,0,동일로
19DC3A560D,동호로 102.,더건***************,식품 제조,옥수,2015-03-12,2025-07-17,0,동호로
E1B7CDD2A1,동호로 93 .,비에***************,치킨,옥수,2006-10-19,,1,동호로
96A00BF6D0,동호로 93 .,파리********,베이커리,옥수,2024-04-26,,1,동호로
E23D8D8DEC,둘레11길 26,우*,축산물,성수,2002-07-15,,0,둘레
23B6250706,둘레15길 14,행복**,백반/가정식,성수,2011-04-08,,0,둘레
9635DC4359,둘레15길 16,농우*,축산물,성수,2007-05-25,,0,둘레
3F320BF290,뚝섬로 321.,국수***,한식-국수/만두,성수,2009-11-03,,0,뚝섬로
5BF5A99836,뚝섬로 337.,성수**,분식,성수,2014-11-27,,0,뚝섬로
9CAEFAC424,뚝섬로 338.,뚝섬***,한식-육류/고기,성수,2008-08-01,,0,뚝섬로
B08C05B8DC,뚝섬로 389.,한촌*********,한식-국밥/설렁탕,성수,2014-12-30,,1,뚝섬로
FB073006C3,뚝섬로 392.,또래**,치킨,성수,2016-01-27,,1,뚝섬로
B8DFA92D86,뚝섬로 392.,규리******,호프/맥주,성수,2018-06-18,,0,뚝섬로
4CE4BD3DBE,뚝섬로 426.,홍정*,중식당,성수,2015-02-10,,0,뚝섬로
5AF3D76D12,뚝섬로 447.,스*,한식-단품요리일반,성수,2015-04-27,,0,뚝섬로
5B4244B007,마장로 137.,웃긴****,분식,왕십리,2021-03-12,,0,마장로
D5D2A1D534,마장로 137.,낀부**********,치킨,왕십리,2014-08-11,,1,마장로
1777C724B3,마장로 137.,고고***,치킨,왕십리,2015-08-18,,0,마장로
0B68902965,마장로 137.,서오***,피자,왕십리,2020-09-01,,0,마장로
D218E37580,마장로 137.,본도*******,도시락,왕십리,2021-12-30,,1,마장로
C02F2D3CAA,마장로 137.,안수*,일식당,왕십리,2021-07-09,,0,마장로
582A075088,마장로 137.,고(********,축산물,왕십리,2023-05-12,,0,마장로
3D65A21626,마장로 137.,컴포***********,커피전문점,왕십리,2024-01-19,,1,마장로
E508B2FACD,마장로 137.,유림****,한식-국수/만두,왕십리,2014-10-24,,0,마장로
4ED49525EB,마장로 137.,누들************,한식-육류/고기,왕십리,2015-04-02,,0,마장로
8ED47EF2DD,마장로 137.,나마*****,한식-해물/생선,왕십리,2019-07-22,,0,마장로
A0FFF7EBFF,마장로 185.,태평***,일식당,왕십리,2014-12-29,,0,마장로
40F6DE923B,마장로 223.,야미*,치킨,왕십리,2015-10-07,,0,마장로
57B4E2F996,마장로 228.,장충********,한식-육류/고기,왕십리,2015-11-23,2025-08-11,0,마장로
4C021A3A21,마장로 228.,대게******,한식-해물/생선,왕십리,2015-11-30,,0,마장로
64AC3356A0,마장로 231.,목포**,백반/가정식,왕십리,2011-04-13,,0,마장로
AA2334143C,마장로 244.,잼(******,한식-찌개/전골,왕십리,2018-12-11,,0,마장로
93DD2BDC37,마장로 274.,우리******,한식-해물/생선,왕십리,2008-03-19,,0,마장로
475ED601EB,마장로 280.,지에************,커피전문점,왕십리,2013-09-05,,1,마장로
58ABFB3565,마장로 283.,김밥**,분식,왕십리,2008-12-26,,1,마장로
CC80B4E678,마장로 283.,하은***,분식,왕십리,2010-10-26,,0,마장로
8884E46F9D,마장로 284.,대성*,중식당,왕십리,2013-06-28,,0,마장로
CF178591B8,마장로 285.,조개****,한식-찌개/전골,왕십리,2007-06-01,,0,마장로
B170208380,마장로 299.,피자******,피자,왕십리,2013-06-11,,1,마장로
6C51945707,마장로 327.,군산**,백반/가정식,왕십리,2016-08-02,,0,마장로
2BB4EF9F37,마장로 328.,별바*,일식당,왕십리,2003-10-01,,0,마장로
BE7D01F20E,마조로 15-2,구이**,한식-육류/고기,한양대,2006-10-30,,0,마조로
48731DE9B9,마조로 17 .,우리******,치킨,한양대,2012-02-01,2025-07-07,0,마조로
51DB10788F,마조로 35 .,버거*,햄버거,한양대,2016-09-01,,0,마조로
8580604818,마조로3길 6,알촌*****,분식,한양대,2015-02-27,,1,마조로
7E6F88E6D1,마조로3길 8,이모****,한식-단품요리일반,한양대,2005-08-31,,0,마조로
56B02A07FC,마조로5길 3,황소**,한식-육류/고기,한양대,2001-01-29,,0,마조로
C74C8A6CB8,마조로5길 5,청년*************,한식-단품요리일반,한양대,2010-03-30,,0,마조로
1E4D38A262,마조로5길 7,김종******,치킨,한양대,2008-11-28,,0,마조로
3B5C32604B,마조로7길 6,싱싱*****,한식-해물/생선,한양대,2008-04-17,,1,마조로
D511E3D8B1,무수막길 3.,참나******,한식-육류/고기,금남시장,2001-09-05,,0,무수막길
6D023B142B,무수막길 94,착한******,축산물,신금호,2015-06-12,,0,무수막길
6402B38CAE,무수막길 95,우리**,축산물,신금호,2007-04-20,,0,무수막길
45653EE08D,무학로 10-1,케이****,베이커리,왕십리,2020-09-25,,0,무학로
F5B18447D1,무학로6길 5,고향**,백반/가정식,왕십리,2008-12-08,,0,무학로
6F2F34ACCC,무학봉길 83,여수****,한식-단품요리일반,왕십리,2001-10-24,,0,무학봉길
ECD810DC58,무학봉길 88,토상**,일식당,왕십리,2000-09-25,,0,무학봉길
E73D1C3E58,사근동8길 8,다시***,치킨,한양대,2010-03-16,,0,사근동
19AB11C6B4,사근동길 4.,피자*******,피자,한양대,2017-06-28,,1,사근동길
97FAE8D665,사근동길 4.,우리**,한식-육류/고기,한양대,2009-12-04,,0,사근동길
1184FDF48F,사근동길 55,사*,축산물,한양대,2006-10-02,,0,사근동길
2F5708B372,사근동길 58,우리**,식료품,한양대,2006-01-02,,0,사근동길
5106B234F1,사근동길 6.,투고***,백반/가정식,한양대,2016-05-04,,1,사근동길
2BBA95E499,살곶이길 40,고깃****,한식-육류/고기,마장동,2014-06-12,,0,살곶이길
9EE29A7918,상원12길 12,강북**,수산물,뚝섬,2014-02-25,,0,상원
3593B2D487,상원1길 13.,스테************,카페,뚝섬,2023-01-26,,0,상원
5B875E9A9E,상원1길 26.,대성**,한식-육류/고기,뚝섬,2024-02-07,,0,상원
20A41DB343,상원1길 33.,야끼****,일식당,뚝섬,2019-05-31,,0,상원
AA062AE1FC,상원6길 6-1,호타*,일식-덮밥/돈가스,뚝섬,2010-05-17,,0,상원
561E2A96EF,성덕정길 25,영구********,피자,성수,2001-07-23,,1,성덕정길
A54A81ABB2,성덕정길 37,얼큰****,한식-냉면,성수,2006-06-12,,0,성덕정길
