가맹점구분번호,가맹점주소,가맹점명,업종,상권,개설일,폐업일,프랜차이즈여부
88B36E48D9,금호로 45.,필라*******,룸살롱/단란주점,금남시장,2002-01-24,,0
69BC027D6D,금호로 56.,만족********,한식-육류/고기,금남시장,2016-08-22,,1
A7F9CAA110,금호로 66.,대중*****,한식-육류/고기,금남시장,2015-10-30,,0
0286E31425,금호로 84.,장미**,백반/가정식,금남시장,2015-09-02,,0
C26F430D81,금호로 86.,삼덕**,미곡상,금남시장,2013-06-05,,0
AE28C5ED57,난계로 32.,지코*******,치킨,난계로,2023-07-27,,1
572B665575,난계로 35.,이디***********,커피전문점,난계로,2016-11-23,,1
93F595E5D2,난계로 97.,삼미**,한식-단품요리일반,난계로,2015-01-21,,0
66FA72C189,둘레5길 15,지성**,백반/가정식,성수,2008-11-03,,0
81FB160AA4,뚝섬로 404,풍년**,미곡상,성수,2007-07-10,,0
6D19A5E92A,뚝섬로 404,중국*,중식당,성수,2007-08-08,,0
721715F255,마장로 137,퍼멘*****,베이커리,왕십리,2020-08-31,,0
43F46BD63A,마장로 192,수원**,한식-육류/고기,왕십리,2013-06-05,,0
0400611A92,마장로 199,겨울**,백반/가정식,왕십리,2013-10-31,,0
EC38BD01D9,마장로 211,소대**,백반/가정식,왕십리,2014-08-06,,0
571F96C27E,마장로 223,김밥**,분식,왕십리,2008-06-19,,1
C18835BA2E,마장로 227,달리***,포장마차,왕십리,2005-07-01,,0
44EA134147,마장로 232,권가*,한식-육류/고기,왕십리,2013-10-24,,0
D86773997F,마장로 283,세계********,주류,왕십리,2008-06-13,,1
F3D0744667,마장로 296,비어**,호프/맥주,왕십리,2006-09-25,,1
43195F0299,마장로 321,나*,백반/가정식,왕십리,2002-04-03,,0
41CD6D7430,마장로 326,들창*,한식-육류/고기,왕십리,2008-05-20,,0
E6D7A15FD3,마조로 17.,레드**,분식,한양대,2010-02-18,,0
149F54EBF0,마조로 17.,금*,중식당,한양대,2011-08-08,,0
1F43B61BB2,마조로 17.,든든****,호프/맥주,한양대,2013-08-30,,0
2C264531BC,마조로 17.,주물****,한식-육류/고기,한양대,2008-08-12,,0
D1138B8FD3,마조로 17.,올레*******,한식-육류/고기,한양대,2011-09-06,,0
73F46BB8A3,마조로 17.,육지**,한식-육류/고기,한양대,2013-10-18,,0
FF37DA45D4,마조로 17.,꼬지***,한식-육류/고기,한양대,2013-11-18,,0
7A6A7EB10A,마조로 17.,이모*****,한식-육류/고기,한양대,2014-11-25,,0
55B960CBD0,마조로 17.,더구**,한식-육류/고기,한양대,2015-06-24,,0
0E559E84F4,마조로 17.,양대*,한식-육류/고기,한양대,2016-04-01,,0
42326C1AF5,마조로 21.,금*,중식당,한양대,2001-12-18,,0
3BCE6D8224,마조로 21.,쏘러*,호프/맥주,한양대,2014-07-22,,0
FCAF2BC53E,마조로 21.,빽다******,커피전문점,한양대,2015-07-31,2025-08-18,1
87EDA03BF6,마조로 25.,뉴스*****,호프/맥주,한양대,2015-08-20,,1
E10B522E89,마조로 25.,이가**,한식-육류/고기,한양대,2005-02-07,,0
9DB8C036CD,마조로 27.,달포*,포장마차,한양대,2015-12-29,,0
3AE3E04CCF,마조로 29.,쥬*,주스,한양대,2015-05-26,,1
13CF34E13D,마조로 29.,행컵*****,백반/가정식,한양대,2022-04-20,,1
1AEC503D19,마조로 31.,교촌*******,치킨,한양대,2018-11-13,,1
27751D8C2E,마조로 33.,악어***,분식,한양대,2011-05-17,,0
B3E898AB24,마조로 34.,본도*********,도시락,한양대,2014-11-20,,1
77F596FCF5,마조로 35.,본죽*********,한식-죽,한양대,2014-05-23,,1
64E401B0CC,마조로 55.,청담**,반찬,한양대,2016-03-25,,0
05992E2BE5,매봉길 13.,락앤*****,중식당,옥수,2014-05-07,,1
2324CB55B4,매봉길 16.,래미***,한식-단품요리일반,옥수,2011-03-14,,0
CF7D4E4D69,매봉길 22.,함흥***,한식-국밥/설렁탕,옥수,2013-08-02,,0
69013447B1,무학로 10.,냉삼*********,한식-육류/고기,왕십리,2021-04-20,,0
765AA249BB,무학로 33.,좋은******,식료품,왕십리,2023-11-20,,0
158EC80184,무학로 33.,푸른**,축산물,왕십리,2024-12-10,,0
56F352C52C,무학로 33.,퀸타*****,베이커리,왕십리,2016-11-18,,0
5FCE089938,무학로 33.,이디******,커피전문점,왕십리,2016-11-17,,1
A8B5572DE8,무학로 33.,애정***,백반/가정식,왕십리,2008-12-15,,0
3CAACEBFFD,무학로 36.,한국***,백반/가정식,왕십리,2014-02-17,,0
52BE681A0A,사근동 178,미네***,일식-우동/소바/라면,한양대,2016-10-14,,0
8532D4C362,사근동11길,그린******,카페,한양대,2023-02-23,,0
50832A2B37,사근동길 4,비*,한식-찌개/전골,한양대,2009-07-29,,0
3D05D0CBE9,상왕십리동,일미**********,한식-육류/고기,상왕십리동,2014-08-12,,1
E961D9800C,상왕십리동,옐로************,한식-단품요리일반,상왕십리동,2021-11-09,,0
7FD59667F6,상원10길 6,풍년*****,백반/가정식,뚝섬,2009-05-20,,0
B0B5E9F0A8,상원10길 8,미락******,한식-국수/만두,뚝섬,2010-06-10,,0
F425FD13E4,상원1길 15,돈벼***,한식-육류/고기,뚝섬,1999-10-15,,0
BD237E8126,상원2길 5.,페로************,카페,뚝섬,2020-04-07,,0
87CD1EAFC6,상원6길 4.,호남**,백반/가정식,뚝섬,2012-11-22,,0
A194A2CDE5,상원8길 1.,좋은**,농산물,뚝섬,2015-02-06,,0
AEE017222D,상원길 11.,연탄****,한식-해물/생선,뚝섬,2013-05-07,,0
6B31815A9D,상원길 19.,개인****************,카페,뚝섬,2015-06-30,,0
968834B420,상원길 24.,백채*********,한식-찌개/전골,뚝섬,2011-12-05,,1
B7564CFF4B,상원길 24.,미사*,한식-단품요리일반,뚝섬,2013-12-10,,0
9092940228,상원길 39.,하이***,분식,뚝섬,2015-07-08,,0
CD0848A352,상원길 39.,쥬씨*****,주스,뚝섬,2016-07-18,,1
DA1B23659C,상원길 51.,종로**,떡/한과 제조,뚝섬,2013-12-04,,0
EC5DF75B11,상원길 59.,신전***,분식,뚝섬,2016-06-22,,1
7727CDA849,상원길 64.,코너*,양식,뚝섬,2019-10-11,,0
735CDC10F9,상원길 66.,일로*******,한식-단품요리일반,뚝섬,2016-06-10,,0
F42D0B483B,성수1가1동,동부**,축산물,성수,2014-02-12,,0
3DEF9DCDB9,아차산로 6,김밥**,분식,뚝섬,2006-04-27,,1
D9C37DB102,용답19길 5,로데***,한식-육류/고기,답십리,2005-05-25,,0
F5F6298388,용답동 5-3,동호**,일식당,답십리,1996-01-12,,0
D10F02182E,장터길 37.,과일**,청과물,금남시장,2024-01-18,,0
B3301EF2AC,장터길 39.,부원**,한식-냉면,금남시장,2007-08-22,,0
747B2FF05E,장터길 46.,장군**,백반/가정식,금남시장,2009-05-11,,0
BD1FD7F407,행당로 103,바르********,분식,행당,2014-12-04,,1
9977D38E3F,행당로 119,이삭***,샌드위치/토스트,행당,2015-04-30,,1
88375A5971,행당로 129,김밥**,분식,왕십리,2008-03-28,,0
3114F5BFDA,행당로 76.,도담**,인삼제품,행당,2013-10-28,,0
EB66B019B5,행당로 79.,카페*********,카페,행당,2016-06-21,,0
CA28FD6B8A,행당로 82.,왕십***,미곡상,행당,2014-08-18,,0
66317DF98C,행당로 84.,치치****,주류,행당,2021-05-06,,0
D731C6D372,행당로 84.,커피********,커피전문점,행당,2015-09-10,,1
1F08E8119D,행당로 87.,비타***,청과물,행당,2016-01-08,,1
DFC09E5F2A,행당로 87.,빵굼*,베이커리,행당,2013-03-04,,1
5B3DE5F17F,행당로 87.,방가*****,한식-육류/고기,행당,2015-08-21,,0
17725DC7CA,금호동1가,종로**,떡/한과 제조,금남시장,2009-02-06,,0
3849F9A089,금호동1가,우촌****,한식-육류/고기,금남시장,2006-07-04,,0
E2AF8DDCAD,금호동1가,태능****,한식-육류/고기,금남시장,2007-10-05,,0
C21A5454F4,금호동2가,우리**,미곡상,신금호,2011-03-14,,0
15EE2AE836,금호동3가,조아*******,담배,금남시장,2011-01-27,,0
9676392FCC,금호동3가,은진***,건어물,금남시장,2009-03-24,,0
4B2AF6047C,금호동3가,은성**,한식-육류/고기,금남시장,2003-10-13,,0
DA3D8B1FB0,금호동4가,브레*****,건강식품,금남시장,1998-01-24,,0
E4313DDAAD,금호동4가,곽가*****,백반/가정식,금남시장,2011-05-20,,0
AC70EA0FCD,금호산2길,중화*,중식당,금남시장,2015-06-19,,0
6E584F4319,마조로5길,시선*****,포장마차,한양대,2012-12-28,,0
FF39E0223D,무학로2길,오븐******,치킨,왕십리,2012-10-17,,1
BE646F48C4,무학로8길,카페***,카페,왕십리,2014-06-27,,0
2889D57BC9,성수동2가,영남***,식품 제조,성수,2011-12-14,2025-07-31,0
BCE250D47B,금호로 100.,한*,농산물,금남시장,2014-11-12,,0
921F25CC9D,금호로 100.,현준**,청과물,금남시장,2016-03-09,,0
55F3EC2326,금호로 102.,가츠**,양식,금남시장,2013-08-27,,0
D66D8AD118,금호로 164.,청과****,청과물,신금호,2005-01-17,,0
AB0A569DCA,금호로 168.,먹태**,호프/맥주,신금호,2015-08-12,,0
6DF56DD3F4,금호로 40 .,커스*******,커피전문점,금남시장,2016-02-02,,0
5468EE06CF,금호로 47-1,금수*,중식당,금남시장,2002-06-04,,0
13920AE06B,금호산길 62,해마******,한식-육류/고기,신금호,2004-09-01,,0
4EFDFC6E78,금호산길 71,전주**,백반/가정식,신금호,2001-12-07,,0
E32B3F96D3,동일로 143.,우마************,일식당,동일로,2009-07-20,,0
EADA92CB95,동일로 143.,밥내*,한식-단품요리일반,동일로,2016-01-19,,0
94864656C3,동일로 265.,싱싱***,한식-육류/고기,동일로,2015-05-06,,0
19DC3A560D,동호로 102.,더건***************,식품 제조,옥수,2015-03-12,2025-07-17,0
E1B7CDD2A1,동호로 93 .,비에***************,치킨,옥수,2006-10-19,,1
96A00BF6D0,동호로 93 .,파리********,베이커리,옥수,2024-04-26,,1
E23D8D8DEC,둘레11길 26,우*,축산물,성수,2002-07-15,,0
23B6250706,둘레15길 14,행복**,백반/가정식,성수,2011-04-08,,0
9635DC4359,둘레15길 16,농우*,축산물,성수,2007-05-25,,0
3F320BF290,뚝섬로 321.,국수***,한식-국수/만두,성수,2009-11-03,,0
5BF5A99836,뚝섬로 337.,성수**,분식,성수,2014-11-27,,0
9CAEFAC424,뚝섬로 338.,뚝섬***,한식-육류/고기,성수,2008-08-01,,0
B08C05B8DC,뚝섬로 389.,한촌*********,한식-국밥/설렁탕,성수,2014-12-30,,1
FB073006C3,뚝섬로 392.,또래**,치킨,성수,2016-01-27,,1
B8DFA92D86,뚝섬로 392.,규리******,호프/맥주,성수,2018-06-18,,0
4CE4BD3DBE,뚝섬로 426.,홍정*,중식당,성수,2015-02-10,,0
5AF3D76D12,뚝섬로 447.,스*,한식-단품요리일반,성수,2015-04-27,,0
5B4244B007,마장로 137.,웃긴****,분식,왕십리,2021-03-12,,0
D5D2A1D534,마장로 137.,낀부**********,치킨,왕십리,2014-08-11,,1
1777C724B3,마장로 137.,고고***,치킨,왕십리,2015-08-18,,0
0B68902965,마장로 137.,서오***,피자,왕십리,2020-09-01,,0
D218E37580,마장로 137.,본도*******,도시락,왕십리,2021-12-30,,1
C02F2D3CAA,마장로 137.,안수*,일식당,왕십리,2021-07-09,,0
582A075088,마장로 137.,고(********,축산물,왕십리,2023-05-12,,0
3D65A21626,마장로 137.,컴포***********,커피전문점,왕십리,2024-01-19,,1
E508B2FACD,마장로 137.,유림****,한식-국수/만두,왕십리,2014-10-24,,0
4ED49525EB,마장로 137.,누들************,한식-육류/고기,왕십리,2015-04-02,,0
8ED47EF2DD,마장로 137.,나마*****,한식-해물/생선,왕십리,2019-07-22,,0
A0FFF7EBFF,마장로 185.,태평***,일식당,왕십리,2014-12-29,,0
40F6DE923B,마장로 223.,야미*,치킨,왕십리,2015-10-07,,0
57B4E2F996,마장로 228.,장충********,한식-육류/고기,왕십리,2015-11-23,2025-08-11,0
4C021A3A21,마장로 228.,대게******,한식-해물/생선,왕십리,2015-11-30,,0
64AC3356A0,마장로 231.,목포**,백반/가정식,왕십리,2011-04-13,,0
AA2334143C,마장로 244.,잼(******,한식-찌개/전골,왕십리,2018-12-11,,0
93DD2BDC37,마장로 274.,우리******,한식-해물/생선,왕십리,2008-03-19,,0
475ED601EB,마장로 280.,지에************,커피전문점,왕십리,2013-09-05,,1
58ABFB3565,마장로 283.,김밥**,분식,왕십리,2008-12-26,,1
CC80B4E678,마장로 283.,하은***,분식,왕십리,2010-10-26,,0
8884E46F9D,마장로 284.,대성*,중식당,왕십리,2013-06-28,,0
CF178591B8,마장로 285.,조개****,한식-찌개/전골,왕십리,2007-06-01,,0
B170208380,마장로 299.,피자******,피자,왕십리,2013-06-11,,1
6C51945707,마장로 327.,군산**,백반/가정식,왕십리,2016-08-02,,0
2BB4EF9F37,마장로 328.,별바*,일식당,왕십리,2003-10-01,,0
BE7D01F20E,마조로 15-2,구이**,한식-육류/고기,한양대,2006-10-30,,0
48731DE9B9,마조로 17 .,우리******,치킨,한양대,2012-02-01,2025-07-07,0
51DB10788F,마조로 35 .,버거*,햄버거,한양대,2016-09-01,,0
8580604818,마조로3길 6,알촌*****,분식,한양대,2015-02-27,,1
7E6F88E6D1,마조로3길 8,이모****,한식-단품요리일반,한양대,2005-08-31,,0
56B02A07FC,마조로5길 3,황소**,한식-육류/고기,한양대,2001-01-29,,0
C74C8A6CB8,마조로5길 5,청년*************,한식-단품요리일반,한양대,2010-03-30,,0
1E4D38A262,마조로5길 7,김종******,치킨,한양대,2008-11-28,,0
3B5C32604B,마조로7길 6,싱싱*****,한식-해물/생선,한양대,2008-04-17,,1
D511E3D8B1,무수막길 3.,참나******,한식-육류/고기,금남시장,2001-09-05,,0
6D023B142B,무수막길 94,착한******,축산물,신금호,2015-06-12,,0
6402B38CAE,무수막길 95,우리**,축산물,신금호,2007-04-20,,0
45653EE08D,무학로 10-1,케이****,베이커리,왕십리,2020-09-25,,0
F5B18447D1,무학로6길 5,고향**,백반/가정식,왕십리,2008-12-08,,0
6F2F34ACCC,무학봉길 83,여수****,한식-단품요리일반,왕십리,2001-10-24,,0
ECD810DC58,무학봉길 88,토상**,일식당,왕십리,2000-09-25,,0
E73D1C3E58,사근동8길 8,다시***,치킨,한양대,2010-03-16,,0
19AB11C6B4,사근동길 4.,피자*******,피자,한양대,2017-06-28,,1
97FAE8D665,사근동길 4.,우리**,한식-육류/고기,한양대,2009-12-04,,0
1184FDF48F,사근동길 55,사*,축산물,한양대,2006-10-02,,0
2F5708B372,사근동길 58,우리**,식료품,한양대,2006-01-02,,0
5106B234F1,사근동길 6.,투고***,백반/가정식,한양대,2016-05-04,,1
2BBA95E499,살곶이길 40,고깃****,한식-육류/고기,마장동,2014-06-12,,0
9EE29A7918,상원12길 12,강북**,수산물,뚝섬,2014-02-25,,0
3593B2D487,상원1길 13.,스테************,카페,뚝섬,2023-01-26,,0
5B875E9A9E,상원1길 26.,대성**,한식-육류/고기,뚝섬,2024-02-07,,0
20A41DB343,상원1길 33.,야끼****,일식당,뚝섬,2019-05-31,,0
AA062AE1FC,상원6길 6-1,호타*,일식-덮밥/돈가스,뚝섬,2010-05-17,,0
561E2A96EF,성덕정길 25,영구********,피자,성수,2001-07-23,,1
A54A81ABB2,성덕정길 37,얼큰****,한식-냉면,성수,2006-06-12,,0
F43CAD08EC,성덕정길 46,백두**,한식-단품요리일반,성수,2003-10-09,,1
F0892BD2A8,성덕정길 75,옛날*****,한식-단품요리일반,성수,2010-12-09,,0
426E9843AA,성덕정길 78,피자****,피자,성수,2006-09-06,,1
90B44E35DE,성덕정길 90,싱싱**,한식-해물/생선,성수,2005-09-28,,0
8960400ECA,성덕정길 91,떡마*,베이커리,성수,2007-07-12,,0
1112ACEF8D,성덕정길 99,신화***,건강원,성수,2003-07-16,,0
5F35F67E3F,성수일로 59,장흥**,백반/가정식,뚝섬,2008-10-09,,0
6A690D39D5,아차산로 87,삼천*,한식-해물/생선,성수,2000-06-09,,0
C83F9C3B91,아차산로 87,다도**,한식-단품요리일반,성수,2000-03-18,,0
0B20C4C788,아차산로 93,펀비**,치킨,성수,2006-12-11,,1
77F053DC44,아차산로 96,행*,호프/맥주,성수,2001-10-12,,0
D3E9691832,연무장길 17,외가*,한식-육류/고기,성수,2003-07-11,,0
170B8F1903,왕십리로 78,승리*,중식당,뚝섬,2016-08-30,,0
7DF4881E0F,용답19길 5.,조개****,한식-해물/생선,답십리,2008-07-01,,0
D6F7A9FA64,용답19길 9.,애솔*****,한식-육류/고기,답십리,2000-07-27,,0
8BB9732BBC,용답29길 13,한길**,식료품,답십리,2009-04-17,,0
242ECF834A,용답동 14-2,동수******,한식-육류/고기,답십리,2016-12-13,,0
937948A121,용답동 47-1,소문*******,백반/가정식,답십리,2013-12-09,,0
DA72A54F82,장터길 25-1,명가****,분식,금남시장,2013-02-12,,0
A61BA685E8,장터길 38-1,박재*****,한식-해물/생선,금남시장,2005-07-08,,0
8985D82F2F,장터길 39-1,경북**,미곡상,금남시장,1999-08-06,,0
E12C68864A,장터길 43-3,짱구*****,한식-국밥/설렁탕,금남시장,2010-06-18,,0
F147CC2C63,한림말길 17,옥수*****,백반/가정식,옥수,2015-07-24,,0
5AE55ECD0E,행당동 17-7,카페********,아이스크림/빙수,한양대,2013-03-29,,1
3BB8C1A3AD,행당로 109.,행당**,한식-육류/고기,행당,2014-08-06,,1
8234005757,행당로 129.,폰아*************,담배,왕십리,2015-01-21,,0
107D13BB20,행당로 129.,곽선****,분식,왕십리,2022-08-08,,0
DAD6A93B87,행당로 129.,봉구************,햄버거,왕십리,2013-10-31,,1
382A324F7A,행당로 87 .,낙원**,떡/한과 제조,행당,2016-05-16,,0
0E33FFCD65,행당로 89 .,이영******,분식,행당,2021-06-17,,0
103335BDCE,마조로  17,원조****,한식-냉면,한양대,2012-04-17,,0
58B096EF00,마조로  55,신선***,축산물,한양대,2012-04-05,,0
C45BC175C8,매봉길  12,이디***,커피전문점,옥수,2012-08-08,,1
