가맹점구분번호,가맹점명,상권,가맹점주소,가맹점주소_세부,업종,프랜차이즈여부,개설일,폐업일,대분류,25년기준_운영개월수,영업기간_구간
E9D4FB94A0,참나*****,동일로,동일로,동일로 83,한식-단품요리일반,0,2010-02-23,,식사_그룹_0,186,4. 장기/쇠퇴기
149BA1B7C7,써브******,한양대,마조로,마조로 11,샌드위치/토스트,1,2002-01-21,,식사_그룹_2,283,4. 장기/쇠퇴기
2AECA02B3A,대*,한양대,마조로,마조로 17,축산물,0,2002-04-30,,비외식소매,280,4. 장기/쇠퇴기
11A66B8033,돼지*,한양대,마조로,마조로 17,한식-육류/고기,0,2002-03-21,,식사_그룹_1,281,4. 장기/쇠퇴기
CE3D519C06,장어**,한양대,마조로,마조로 17,한식-해물/생선,0,2009-06-17,,식사_그룹_1,194,4. 장기/쇠퇴기
03A222EE9D,놀란*,한양대,마조로,마조로 17,한식-단품요리일반,0,2014-06-09,,식사_그룹_0,134,4. 장기/쇠퇴기
946BE40BF1,토리********,한양대,마조로,마조로 25,일식당,0,2015-09-11,,식사_그룹_1,119,4. 장기/쇠퇴기
B2378AFA3D,성일***,한양대,마조로,마조로 29,한식-감자탕,0,2010-02-17,,식사_그룹_0,186,4. 장기/쇠퇴기
F512DF538E,맘스*******,한양대,마조로,마조로 31,햄버거,1,2015-08-31,,식사_그룹_2,120,4. 장기/쇠퇴기
C2207433F7,한솥***********,한양대,마조로,마조로 33,도시락,1,2010-07-12,,식사_그룹_2,181,4. 장기/쇠퇴기
9350A78BD7,동방***,한양대,마조로,마조로 33,꼬치구이,0,2014-07-21,,주점/유흥,133,4. 장기/쇠퇴기
661C7C734C,크로*******,한양대,마조로,마조로 35,베이커리,0,2002-09-25,,카페/디저트,275,4. 장기/쇠퇴기
43CE48A1CD,스마*,한양대,마조로,마조로 39,분식,0,2009-03-03,,식사_그룹_2,197,4. 장기/쇠퇴기
0E2AE2C4F1,철*,한양대,마조로,마조로 7.,백반/가정식,0,2016-08-23,,기타,108,4. 장기/쇠퇴기
7102ACD438,인덕***,옥수,매봉길,매봉길 2.,양식,0,2018-01-17,,식사_그룹_1,91,3. 성숙기
F80F79F599,파파*****,옥수,매봉길,매봉길 2.,피자,1,2005-11-30,,식사_그룹_0,237,4. 장기/쇠퇴기
FCBC740B1D,왕십**********,왕십리,무학로,무학로 33,베이커리,1,2016-04-19,,카페/디저트,112,4. 장기/쇠퇴기
D427F7C6AB,벽산****,왕십리,무학로,무학로 42,포장마차,0,2009-12-02,,카페/디저트,188,4. 장기/쇠퇴기
7D6F493369,춘천***,뚝섬,상원,상원6길 5,한식-육류/고기,1,2000-03-18,,식사_그룹_1,305,4. 장기/쇠퇴기
98BA99BFE9,가든***,뚝섬,상원,상원8길 1,축산물,0,2009-07-17,,비외식소매,193,4. 장기/쇠퇴기
54529B6426,둘둘***********,뚝섬,상원길,상원길 52,치킨,1,2010-11-01,,식사_그룹_0,177,4. 장기/쇠퇴기
3DD6585AD5,이흥***,뚝섬,상원길,상원길 54,한식-육류/고기,0,1999-02-05,,식사_그룹_1,318,4. 장기/쇠퇴기
2B89D787CB,왕짜*,뚝섬,상원길,상원길 60,중식당,1,2018-12-05,,식사_그룹_0,80,3. 성숙기
3B0F367222,맛닭******,성수,성수동,성수동2가,치킨,1,2000-09-06,,식사_그룹_0,299,4. 장기/쇠퇴기
4208C4C0A7,삼오***,성수,성수동,성수동2가,식품 제조,0,2016-07-29,,기타,109,4. 장기/쇠퇴기
838461E308,찐짜**,성수,성수동,성수동2가,백반/가정식,0,2015-08-24,,기타,120,4. 장기/쇠퇴기
E8E75C90BA,20****,성수,성수동,성수동2가,한식-해물/생선,0,2009-08-04,,식사_그룹_1,192,4. 장기/쇠퇴기
37FE3D6CC0,빙아********,성수,성수동,성수동2가,아이스크림/빙수,0,2023-04-21,,카페/디저트,28,2. 성장기(죽음의계곡)
BEFB51F3ED,뚱이***,금남시장,장터,장터3길 8,한식-감자탕,0,2015-04-07,,식사_그룹_0,124,4. 장기/쇠퇴기
4349A8302A,롯데******,금남시장,장터길,장터길 23,햄버거,1,2015-08-12,2025-08-18,식사_그룹_2,120,4. 장기/쇠퇴기
9AE54FE931,두레******,금남시장,장터길,장터길 25,베이커리,1,2008-03-25,,카페/디저트,209,4. 장기/쇠퇴기
4EE6AA4F0F,먹거****,금남시장,장터길,장터길 30,한식-육류/고기,0,2011-03-03,,식사_그룹_1,173,4. 장기/쇠퇴기
0D30BE35C0,온달***,금남시장,장터길,장터길 37,한식-육류/고기,0,2015-08-11,,식사_그룹_1,120,4. 장기/쇠퇴기
99A8865F14,백미*,금남시장,장터길,장터길 47,떡/한과 제조,0,2001-12-29,,비외식소매,284,4. 장기/쇠퇴기
D0ECE18966,진미**,금남시장,장터길,장터길 47,한식-육류/고기,0,2007-02-14,,식사_그룹_1,222,4. 장기/쇠퇴기
D333ECD384,은하*,금남시장,장터길,장터길 49,룸살롱/단란주점,0,2005-09-13,,주점/유흥,239,4. 장기/쇠퇴기
C64FD46BFC,덕흥***,행당,행당로,행당로 38,축산물,0,2000-10-12,,비외식소매,298,4. 장기/쇠퇴기
A4369EE806,비타***,행당,행당로,행당로 79,반찬,0,2015-11-12,,비외식소매,117,4. 장기/쇠퇴기
3C97811992,강정***,신금호,무수막길,무수막길,치킨,0,2009-10-29,,식사_그룹_0,190,4. 장기/쇠퇴기
1527B8DFD5,미스***,신금호,무수막길,무수막길,치킨,1,2012-10-23,,식사_그룹_0,154,4. 장기/쇠퇴기
224AE94A24,예*,뚝섬,상원,상원12길,백반/가정식,0,2012-10-22,,기타,154,4. 장기/쇠퇴기
F1823DF685,포마***,신금호,금호로,금호로 151,분식,1,2010-06-24,,식사_그룹_2,182,4. 장기/쇠퇴기
1361C9B25C,사와**,신금호,금호로,금호로 168,분식,0,2008-12-29,,식사_그룹_2,200,4. 장기/쇠퇴기
0616E5FFD3,마테****,금남시장,금호로,금호로 17.,양식,0,2015-03-20,,식사_그룹_1,125,4. 장기/쇠퇴기
F20A9C3F30,해*,금남시장,금호로,금호로 17.,한식-육류/고기,0,2012-04-02,,식사_그룹_1,160,4. 장기/쇠퇴기
E014ED20D7,유어***,금남시장,금호로,금호로 17.,한식-단품요리일반,0,2013-10-16,,식사_그룹_0,142,4. 장기/쇠퇴기
77E78C7C26,금호**************,금남시장,금호로,금호로 40.,요리주점,0,2016-12-02,,주점/유흥,104,4. 장기/쇠퇴기
88B36E48D9,필라*******,금남시장,금호로,금호로 45.,룸살롱/단란주점,0,2002-01-24,,주점/유흥,283,4. 장기/쇠퇴기
69BC027D6D,만족********,금남시장,금호로,금호로 56.,한식-육류/고기,1,2016-08-22,,식사_그룹_1,108,4. 장기/쇠퇴기
A7F9CAA110,대중*****,금남시장,금호로,금호로 66.,한식-육류/고기,0,2015-10-30,,식사_그룹_1,118,4. 장기/쇠퇴기
0286E31425,장미**,금남시장,금호로,금호로 84.,백반/가정식,0,2015-09-02,,기타,119,4. 장기/쇠퇴기
C26F430D81,삼덕**,금남시장,금호로,금호로 86.,미곡상,0,2013-06-05,,비외식소매,146,4. 장기/쇠퇴기
AE28C5ED57,지코*******,난계로,난계로,난계로 32.,치킨,1,2023-07-27,,식사_그룹_0,25,2. 성장기(죽음의계곡)
572B665575,이디***********,난계로,난계로,난계로 35.,커피전문점,1,2016-11-23,,카페/디저트,105,4. 장기/쇠퇴기
93F595E5D2,삼미**,난계로,난계로,난계로 97.,한식-단품요리일반,0,2015-01-21,,식사_그룹_0,127,4. 장기/쇠퇴기
66FA72C189,지성**,성수,둘레,둘레5길 15,백반/가정식,0,2008-11-03,,기타,201,4. 장기/쇠퇴기
81FB160AA4,풍년**,성수,뚝섬로,뚝섬로 404,미곡상,0,2007-07-10,,비외식소매,217,4. 장기/쇠퇴기
6D19A5E92A,중국*,성수,뚝섬로,뚝섬로 404,중식당,0,2007-08-08,,식사_그룹_0,216,4. 장기/쇠퇴기
721715F255,퍼멘*****,왕십리,마장로,마장로 137,베이커리,0,2020-08-31,,카페/디저트,60,3. 성숙기
43F46BD63A,수원**,왕십리,마장로,마장로 192,한식-육류/고기,0,2013-06-05,,식사_그룹_1,146,4. 장기/쇠퇴기
0400611A92,겨울**,왕십리,마장로,마장로 199,백반/가정식,0,2013-10-31,,기타,142,4. 장기/쇠퇴기
EC38BD01D9,소대**,왕십리,마장로,마장로 211,백반/가정식,0,2014-08-06,,기타,132,4. 장기/쇠퇴기
571F96C27E,김밥**,왕십리,마장로,마장로 223,분식,1,2008-06-19,,식사_그룹_2,206,4. 장기/쇠퇴기
C18835BA2E,달리***,왕십리,마장로,마장로 227,포장마차,0,2005-07-01,,카페/디저트,241,4. 장기/쇠퇴기
44EA134147,권가*,왕십리,마장로,마장로 232,한식-육류/고기,0,2013-10-24,,식사_그룹_1,142,4. 장기/쇠퇴기
D86773997F,세계********,왕십리,마장로,마장로 283,주류,1,2008-06-13,,비외식소매,206,4. 장기/쇠퇴기
F3D0744667,비어**,왕십리,마장로,마장로 296,호프/맥주,1,2006-09-25,,주점/유흥,227,4. 장기/쇠퇴기
43195F0299,나*,왕십리,마장로,마장로 321,백반/가정식,0,2002-04-03,,기타,280,4. 장기/쇠퇴기
41CD6D7430,들창*,왕십리,마장로,마장로 326,한식-육류/고기,0,2008-05-20,,식사_그룹_1,207,4. 장기/쇠퇴기
E6D7A15FD3,레드**,한양대,마조로,마조로 17.,분식,0,2010-02-18,,식사_그룹_2,186,4. 장기/쇠퇴기
149F54EBF0,금*,한양대,마조로,마조로 17.,중식당,0,2011-08-08,,식사_그룹_0,168,4. 장기/쇠퇴기
1F43B61BB2,든든****,한양대,마조로,마조로 17.,호프/맥주,0,2013-08-30,,주점/유흥,144,4. 장기/쇠퇴기
2C264531BC,주물****,한양대,마조로,마조로 17.,한식-육류/고기,0,2008-08-12,,식사_그룹_1,204,4. 장기/쇠퇴기
D1138B8FD3,올레*******,한양대,마조로,마조로 17.,한식-육류/고기,0,2011-09-06,,식사_그룹_1,167,4. 장기/쇠퇴기
73F46BB8A3,육지**,한양대,마조로,마조로 17.,한식-육류/고기,0,2013-10-18,,식사_그룹_1,142,4. 장기/쇠퇴기
FF37DA45D4,꼬지***,한양대,마조로,마조로 17.,한식-육류/고기,0,2013-11-18,,식사_그룹_1,141,4. 장기/쇠퇴기
7A6A7EB10A,이모*****,한양대,마조로,마조로 17.,한식-육류/고기,0,2014-11-25,,식사_그룹_1,129,4. 장기/쇠퇴기
55B960CBD0,더구**,한양대,마조로,마조로 17.,한식-육류/고기,0,2015-06-24,,식사_그룹_1,122,4. 장기/쇠퇴기
0E559E84F4,양대*,한양대,마조로,마조로 17.,한식-육류/고기,0,2016-04-01,,식사_그룹_1,112,4. 장기/쇠퇴기
42326C1AF5,금*,한양대,마조로,마조로 21.,중식당,0,2001-12-18,,식사_그룹_0,284,4. 장기/쇠퇴기
3BCE6D8224,쏘러*,한양대,마조로,마조로 21.,호프/맥주,0,2014-07-22,,주점/유흥,133,4. 장기/쇠퇴기
FCAF2BC53E,빽다******,한양대,마조로,마조로 21.,커피전문점,1,2015-07-31,2025-08-18,카페/디저트,121,4. 장기/쇠퇴기
87EDA03BF6,뉴스*****,한양대,마조로,마조로 25.,호프/맥주,1,2015-08-20,,주점/유흥,120,4. 장기/쇠퇴기
E10B522E89,이가**,한양대,마조로,마조로 25.,한식-육류/고기,0,2005-02-07,,식사_그룹_1,246,4. 장기/쇠퇴기
9DB8C036CD,달포*,한양대,마조로,마조로 27.,포장마차,0,2015-12-29,,카페/디저트,116,4. 장기/쇠퇴기
3AE3E04CCF,쥬*,한양대,마조로,마조로 29.,주스,1,2015-05-26,,카페/디저트,123,4. 장기/쇠퇴기
13CF34E13D,행컵*****,한양대,마조로,마조로 29.,백반/가정식,1,2022-04-20,,기타,40,2. 성장기(죽음의계곡)
1AEC503D19,교촌*******,한양대,마조로,마조로 31.,치킨,1,2018-11-13,,식사_그룹_0,81,3. 성숙기
27751D8C2E,악어***,한양대,마조로,마조로 33.,분식,0,2011-05-17,,식사_그룹_2,171,4. 장기/쇠퇴기
B3E898AB24,본도*********,한양대,마조로,마조로 34.,도시락,1,2014-11-20,,식사_그룹_2,129,4. 장기/쇠퇴기
77F596FCF5,본죽*********,한양대,마조로,마조로 35.,한식-죽,1,2014-05-23,,식사_그룹_2,135,4. 장기/쇠퇴기
64E401B0CC,청담**,한양대,마조로,마조로 55.,반찬,0,2016-03-25,,비외식소매,113,4. 장기/쇠퇴기
05992E2BE5,락앤*****,옥수,매봉길,매봉길 13.,중식당,1,2014-05-07,,식사_그룹_0,135,4. 장기/쇠퇴기
2324CB55B4,래미***,옥수,매봉길,매봉길 16.,한식-단품요리일반,0,2011-03-14,,식사_그룹_0,173,4. 장기/쇠퇴기
CF7D4E4D69,함흥***,옥수,매봉길,매봉길 22.,한식-국밥/설렁탕,0,2013-08-02,,식사_그룹_0,144,4. 장기/쇠퇴기
69013447B1,냉삼*********,왕십리,무학로,무학로 10.,한식-육류/고기,0,2021-04-20,,식사_그룹_1,52,3. 성숙기
765AA249BB,좋은******,왕십리,무학로,무학로 33.,식료품,0,2023-11-20,,비외식소매,21,1. 초기
56F352C52C,퀸타*****,왕십리,무학로,무학로 33.,베이커리,0,2016-11-18,,카페/디저트,105,4. 장기/쇠퇴기
5FCE089938,이디******,왕십리,무학로,무학로 33.,커피전문점,1,2016-11-17,,카페/디저트,105,4. 장기/쇠퇴기
A8B5572DE8,애정***,왕십리,무학로,무학로 33.,백반/가정식,0,2008-12-15,,기타,200,4. 장기/쇠퇴기
3CAACEBFFD,한국***,왕십리,무학로,무학로 36.,백반/가정식,0,2014-02-17,,기타,138,4. 장기/쇠퇴기
52BE681A0A,미네***,한양대,사근동,사근동 178,일식-우동/소바/라면,0,2016-10-14,,식사_그룹_2,106,4. 장기/쇠퇴기
8532D4C362,그린******,한양대,사근동,사근동11길,카페,0,2023-02-23,,카페/디저트,30,2. 성장기(죽음의계곡)
50832A2B37,비*,한양대,사근동길,사근동길 4,한식-찌개/전골,0,2009-07-29,,식사_그룹_0,193,4. 장기/쇠퇴기
3D05D0CBE9,일미**********,상왕십리동,상왕십리동,상왕십리동,한식-육류/고기,1,2014-08-12,,식사_그룹_1,132,4. 장기/쇠퇴기
E961D9800C,옐로************,상왕십리동,상왕십리동,상왕십리동,한식-단품요리일반,0,2021-11-09,,식사_그룹_0,45,2. 성장기(죽음의계곡)
7FD59667F6,풍년*****,뚝섬,상원,상원10길 6,백반/가정식,0,2009-05-20,,기타,195,4. 장기/쇠퇴기
B0B5E9F0A8,미락******,뚝섬,상원,상원10길 8,한식-국수/만두,0,2010-06-10,,식사_그룹_0,182,4. 장기/쇠퇴기
F425FD13E4,돈벼***,뚝섬,상원,상원1길 15,한식-육류/고기,0,1999-10-15,,식사_그룹_1,310,4. 장기/쇠퇴기
BD237E8126,페로************,뚝섬,상원,상원2길 5.,카페,0,2020-04-07,,카페/디저트,64,3. 성숙기
87CD1EAFC6,호남**,뚝섬,상원,상원6길 4.,백반/가정식,0,2012-11-22,,기타,153,4. 장기/쇠퇴기
A194A2CDE5,좋은**,뚝섬,상원,상원8길 1.,농산물,0,2015-02-06,,비외식소매,126,4. 장기/쇠퇴기
AEE017222D,연탄****,뚝섬,상원길,상원길 11.,한식-해물/생선,0,2013-05-07,,식사_그룹_1,147,4. 장기/쇠퇴기
6B31815A9D,개인****************,뚝섬,상원길,상원길 19.,카페,0,2015-06-30,,카페/디저트,122,4. 장기/쇠퇴기
968834B420,백채*********,뚝섬,상원길,상원길 24.,한식-찌개/전골,1,2011-12-05,,식사_그룹_0,164,4. 장기/쇠퇴기
B7564CFF4B,미사*,뚝섬,상원길,상원길 24.,한식-단품요리일반,0,2013-12-10,,식사_그룹_0,140,4. 장기/쇠퇴기
9092940228,하이***,뚝섬,상원길,상원길 39.,분식,0,2015-07-08,,식사_그룹_2,121,4. 장기/쇠퇴기
CD0848A352,쥬씨*****,뚝섬,상원길,상원길 39.,주스,1,2016-07-18,,카페/디저트,109,4. 장기/쇠퇴기
DA1B23659C,종로**,뚝섬,상원길,상원길 51.,떡/한과 제조,0,2013-12-04,,비외식소매,140,4. 장기/쇠퇴기
EC5DF75B11,신전***,뚝섬,상원길,상원길 59.,분식,1,2016-06-22,,식사_그룹_2,110,4. 장기/쇠퇴기
7727CDA849,코너*,뚝섬,상원길,상원길 64.,양식,0,2019-10-11,,식사_그룹_1,70,3. 성숙기
735CDC10F9,일로*******,뚝섬,상원길,상원길 66.,한식-단품요리일반,0,2016-06-10,,식사_그룹_0,110,4. 장기/쇠퇴기
F42D0B483B,동부**,성수,성수,성수1가1동,축산물,0,2014-02-12,,비외식소매,138,4. 장기/쇠퇴기
3DEF9DCDB9,김밥**,뚝섬,아차산로,아차산로 6,분식,1,2006-04-27,,식사_그룹_2,232,4. 장기/쇠퇴기
D9C37DB102,로데***,답십리,용답,용답19길 5,한식-육류/고기,0,2005-05-25,,식사_그룹_1,243,4. 장기/쇠퇴기
F5F6298388,동호**,답십리,용답동,용답동 5-3,일식당,0,1996-01-12,,식사_그룹_1,355,4. 장기/쇠퇴기
D10F02182E,과일**,금남시장,장터길,장터길 37.,청과물,0,2024-01-18,,비외식소매,19,1. 초기
B3301EF2AC,부원**,금남시장,장터길,장터길 39.,한식-냉면,0,2007-08-22,,식사_그룹_0,216,4. 장기/쇠퇴기
747B2FF05E,장군**,금남시장,장터길,장터길 46.,백반/가정식,0,2009-05-11,,기타,195,4. 장기/쇠퇴기
